nawil_kerja,kode_uker,nama_bank,nama_bank_cabang
"Bandar Lampung",5597,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANDAR JAYA - UNIT PURNAMA TUNGGAL"
Kediri,3748,"BANK RAKYAT INDONESIA","PT. BRI CABANG NGANJUK - UNIT BAGOR"
Medan,5278,"BANK RAKYAT INDONESIA","PT. BRI CABANG KABANJAHE - UNIT MUNTE"
Surabaya,6178,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT KAPAS"
Padang,5469,"BANK RAKYAT INDONESIA","PT. BRI CABANG PADANG - UNIT LUBUK BEGALUNG "
Tasikmalaya,4443,"BANK RAKYAT INDONESIA","PT. BRI CABANG TASIKMALAYA - UNIT BANTAR"
Pekanbaru,7660,"BANK RAKYAT INDONESIA","PT. BRI CABANG BAGAN SIAPI API - UNIT LENGGADAI"
Padang,5557,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUNGAI PENUH - UNIT KAYU ARO"
Kudus,6036,"BANK RAKYAT INDONESIA","PT. BRI CABANG REMBANG - UNIT SULANG"
Jambi,5635,"BANK RAKYAT INDONESIA","PT. BRI CABANG JAMBI - UNIT THEHOK"
Solo,6649,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOYOLALI - UNIT JEMBUNGAN"
Bandung,0890,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUMEDANG - UNIT JATINANGOR"
Surabaya,7417,"BANK RAKYAT INDONESIA","PT. BRI CABANG SAMPANG - UNIT SRIMANGUNAN"
Bandung,3289,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANDUNG SOREANG - UNIT KATAPANG"
Semarang,6089,"BANK RAKYAT INDONESIA","PT. BRI CABANG UNGARAN - UNIT BANDARJO"
Kudus,3784,"BANK RAKYAT INDONESIA","PT. BRI CABANG CEPU - UNIT KEDUNGTUBAN"
Semarang,5914,"BANK RAKYAT INDONESIA","PT. BRI CABANG KENDAL - UNIT TAMPINGAN"
Jayapura,7533,"BANK RAKYAT INDONESIA","PT. BRI CABANG  SENTANI - UNIT DOYO"
Surabaya,6572,"BANK RAKYAT INDONESIA","PT. BRI CABANG TUBAN - UNIT SINGGAHAN"
"Bandar Lampung",5663,"BANK RAKYAT INDONESIA","PT. BRI CABANG  LIWA - UNIT SUMBER JAYA"
Kediri,6165,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLITAR - UNIT WATES"
Solo,6741,"BANK RAKYAT INDONESIA","PT. BRI CABANG KLATEN - UNIT KEBONARUM"
Surabaya,6219,"BANK RAKYAT INDONESIA","PT. BRI CABANG JEMBER - UNIT UMBULSARI"
Jambi,5632,"BANK RAKYAT INDONESIA","PT. BRI CABANG JAMBI - UNIT SP IV SIPIN"
Pekalongan,6059,"BANK RAKYAT INDONESIA","PT. BRI CABANG TEGAL - UNIT ADIWERNA I"
Manado,0237,"BANK RAKYAT INDONESIA","PT. BRI CABANG TONDANO"
"Bandar Lampung",5663,"BANK RAKYAT INDONESIA","PT. BRI CABANG  LIWA - UNIT SUMBER JAYA"
Makassar,4874,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANTAENG - UNIT BANYORANG"
Makassar,4922,"BANK RAKYAT INDONESIA","PT. BRI CABANG JENEPONTO - UNIT BONTOTANGNGA"
Solo,6666,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOYOLALI - UNIT MUSUK"
"Bandar Lampung",7705,"BANK RAKYAT INDONESIA","PT. BRI CABANG TULANG BAWANG - UNIT MENGGALA"
Sukabumi,4097,"BANK RAKYAT INDONESIA","PT. BRI CABANG CIBADAK - UNIT NAGRAK"
Surabaya,7092,"BANK RAKYAT INDONESIA","PT. BRI CABANG BONDOWOSO - UNIT WRINGIN"
Palembang,5750,"BANK RAKYAT INDONESIA","PT. BRI CABANG PALEMBANG A. RIVAI - UNIT LINGKARAN PALEMBANG"
Semarang,3038,"BANK RAKYAT INDONESIA","PT. BRI CABANG SEMARANG PANDANARAN - UNIT HASANUDIN"
Banyuwangi,6111,"BANK RAKYAT INDONESIA","PT. BRI (PERSERO) Tbk. Kantor Cabang Genteng - Unit Cluring"
Semarang,6725,"BANK RAKYAT INDONESIA","PT. BRI CABANG KEBUMEN - UNIT KUTOWINANGUN"
Madiun,6504,"BANK RAKYAT INDONESIA","PT. BRI CABANG PONOROGO - UNIT JENANGAN"
Padang,7654,"BANK RAKYAT INDONESIA","PT. BRI CABANG PARIAMAN - UNIT BATU BASA "
"DKI Jakarta",4798,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOGOR DS - UNIT CIGUDEG"
Kediri,6268,"BANK RAKYAT INDONESIA","PT. BRI CABANG KEDIRI - UNIT PURWOKERTO"
Semarang,5881,"BANK RAKYAT INDONESIA","PT. BRI CABANG SEMARANG BRIGJEN SUDIARTO - UNIT BANDUNGREJO"
Bengkulu,5684,"BANK RAKYAT INDONESIA","PT. BRI CABANG MANNA - UNIT BANDAR BINTUHAN"
Parepare,5018,"BANK RAKYAT INDONESIA","PT. BRI CABANG PARE-PARE - UNIT LAKESSI"
"Pangkal Pinang",7141,"BANK RAKYAT INDONESIA","PT. BRI CABANG PANGKAL PINANG- UNIT AIR ITAM"
Malang,6386,"BANK RAKYAT INDONESIA","PT. BRI CABANG MALANG MARTADINATA - UNIT WAGIR"
Tangerang,0825,"BANK RAKYAT INDONESIA","PT. BRI CABANG TANGERANG - UNIT JATAKE"
Malang,6484,"BANK RAKYAT INDONESIA","PT. BRI CABANG PASURUAN - UNIT PASREPAN"
Pekalongan,6059,"BANK RAKYAT INDONESIA","PT. BRI CABANG TEGAL - UNIT ADIWERNA I"
Madiun,3759,"BANK RAKYAT INDONESIA","PT. BRI CABANG NGAWI - UNIT WALIKUKUN"
